fileOrder,injOrder,fileName,batch,block,name,class
1,40,10.mzML,1,3,ABR1_10,ABR1
2,52,11.mzML,1,4,ABR1_11,ABR1
3,67,12.mzML,1,5,ABR1_12,ABR1
4,32,13.mzML,1,3,ABR1_13,ABR1
5,53,14.mzML,1,4,ABR1_14,ABR1
6,4,15.mzML,1,1,ABR1_15,ABR1
7,34,16.mzML,1,3,ABR5_1,ABR5
8,38,17.mzML,1,3,ABR5_2,ABR5
9,59,18.mzML,1,5,ABR5_3,ABR5
10,11,19.mzML,1,1,ABR5_4,ABR5
11,64,1.mzML,1,5,ABR1_1,ABR1
12,12,20.mzML,1,1,ABR5_5,ABR5
13,19,21.mzML,1,2,ABR5_6,ABR5
14,47,22.mzML,1,4,ABR5_7,ABR5
15,26,23.mzML,1,2,ABR5_8,ABR5
16,51,24.mzML,1,4,ABR5_9,ABR5
17,37,25.mzML,1,3,ABR5_10,ABR5
18,24,26.mzML,1,2,ABR5_11,ABR5
19,63,27.mzML,1,5,ABR5_12,ABR5
20,65,28.mzML,1,5,ABR5_13,ABR5
21,15,29.mzML,1,1,ABR5_14,ABR5
22,8,2.mzML,1,1,ABR1_2,ABR1
23,43,30.mzML,1,4,ABR5_15,ABR5
24,61,31.mzML,1,5,ABR6_1,ABR6
25,41,32.mzML,1,3,ABR6_2,ABR6
26,22,33.mzML,1,2,ABR6_3,ABR6
27,39,34.mzML,1,3,ABR6_4,ABR6
28,23,35.mzML,1,2,ABR6_5,ABR6
29,46,36.mzML,1,4,ABR6_6,ABR6
30,54,37.mzML,1,4,ABR6_7,ABR6
31,58,38.mzML,1,5,ABR6_8,ABR6
32,28,39.mzML,1,2,ABR6_9,ABR6
33,35,3.mzML,1,3,ABR1_3,ABR1
34,14,40.mzML,1,1,ABR6_10,ABR6
35,30,41.mzML,1,3,ABR6_11,ABR6
36,57,42.mzML,1,5,ABR6_12,ABR6
37,9,43.mzML,1,1,ABR6_13,ABR6
38,49,44.mzML,1,4,ABR6_14,ABR6
39,7,45.mzML,1,1,ABR6_15,ABR6
40,36,46.mzML,1,3,BD21_1,BD21
41,48,47.mzML,1,4,BD21_2,BD21
42,13,48.mzML,1,1,BD21_3,BD21
43,44,49.mzML,1,4,BD21_4,BD21
44,50,4.mzML,1,4,ABR1_4,ABR1
45,5,50.mzML,1,1,BD21_5,BD21
46,60,51.mzML,1,5,BD21_6,BD21
47,33,52.mzML,1,3,BD21_7,BD21
48,45,53.mzML,1,4,BD21_8,BD21
49,62,54.mzML,1,5,BD21_9,BD21
50,66,55.mzML,1,5,BD21_10,BD21
51,27,56.mzML,1,2,BD21_11,BD21
52,6,57.mzML,1,1,BD21_12,BD21
53,18,58.mzML,1,2,BD21_13,BD21
54,31,59.mzML,1,3,BD21_14,BD21
55,20,5.mzML,1,2,ABR1_5,ABR1
56,17,60.mzML,1,2,BD21_15,BD21
57,25,6.mzML,1,2,ABR1_6,ABR1
58,10,7.mzML,1,1,ABR1_7,ABR1
59,56,8.mzML,1,5,ABR1_8,ABR1
60,21,9.mzML,1,2,ABR1_9,ABR1
61,1,QC01.mzML,1,0,QC01,QC
62,2,QC02.mzML,1,0,QC02,QC
63,3,QC03.mzML,1,0,QC03,QC
64,16,QC04.mzML,1,0,QC04,QC
65,29,QC05.mzML,1,0,QC05,QC
66,42,QC06.mzML,1,0,QC06,QC
67,55,QC07.mzML,1,0,QC07,QC
68,68,QC08.mzML,1,0,QC08,QC
