fileOrder,sample_type,fileName,sample_id,path,instrument_method,process_method,position,inj_vol,level,sample_wt,sample_vol,istd_amount,dilution,comment,name,batch,block,class,injOrder,sample_order,creation_date,instrument_name,instrument_model,instrument_serial,software_version,scan_filters,directory
16,Unknown,plasma_10.mzML,17,C:\Xcalibur\Data\200214-DHG-plasma_and_serum_injections,FIE-4pn280,NA,A:4,20,NA,0,0,0,1,NA,plasma_10,1,1,plasma,17,17,14/02/2020 17:08:44,Thermo Exactive Orbitrap,Exactive Orbitrap,Exactive slot #1,1.1-135901/1.1.6.1360,"FTMS {1,3} - p ESI Full ms [55.00-280.00];;;FTMS {1,4} - p ESI Full ms [270.00-1200.00];;;FTMS {1,1} + p ESI Full ms [55.00-280.00];;;FTMS {1,2} + p ESI Full ms [270.00-1200.00]",200214-DHG-plasma_and_serum_injections
17,Unknown,plasma_11.mzML,18,C:\Xcalibur\Data\200214-DHG-plasma_and_serum_injections,FIE-4pn280,NA,A:4,20,NA,0,0,0,1,NA,plasma_11,1,1,plasma,18,18,14/02/2020 17:13:20,Thermo Exactive Orbitrap,Exactive Orbitrap,Exactive slot #1,1.1-135901/1.1.6.1360,"FTMS {1,3} - p ESI Full ms [55.00-280.00];;;FTMS {1,4} - p ESI Full ms [270.00-1200.00];;;FTMS {1,1} + p ESI Full ms [55.00-280.00];;;FTMS {1,2} + p ESI Full ms [270.00-1200.00]",200214-DHG-plasma_and_serum_injections
18,Unknown,plasma_12.mzML,19,C:\Xcalibur\Data\200214-DHG-plasma_and_serum_injections,FIE-4pn280,NA,A:4,20,NA,0,0,0,1,NA,plasma_12,1,1,plasma,19,19,14/02/2020 17:17:58,Thermo Exactive Orbitrap,Exactive Orbitrap,Exactive slot #1,1.1-135901/1.1.6.1360,"FTMS {1,3} - p ESI Full ms [55.00-280.00];;;FTMS {1,4} - p ESI Full ms [270.00-1200.00];;;FTMS {1,1} + p ESI Full ms [55.00-280.00];;;FTMS {1,2} + p ESI Full ms [270.00-1200.00]",200214-DHG-plasma_and_serum_injections
19,Unknown,plasma_13.mzML,20,C:\Xcalibur\Data\200214-DHG-plasma_and_serum_injections,FIE-4pn280,NA,A:4,20,NA,0,0,0,1,NA,plasma_13,1,1,plasma,20,20,14/02/2020 17:22:36,Thermo Exactive Orbitrap,Exactive Orbitrap,Exactive slot #1,1.1-135901/1.1.6.1360,"FTMS {1,3} - p ESI Full ms [55.00-280.00];;;FTMS {1,4} - p ESI Full ms [270.00-1200.00];;;FTMS {1,1} + p ESI Full ms [55.00-280.00];;;FTMS {1,2} + p ESI Full ms [270.00-1200.00]",200214-DHG-plasma_and_serum_injections
20,Unknown,plasma_14.mzML,21,C:\Xcalibur\Data\200214-DHG-plasma_and_serum_injections,FIE-4pn280,NA,A:5,20,NA,0,0,0,1,NA,plasma_14,1,1,plasma,21,21,14/02/2020 17:26:46,Thermo Exactive Orbitrap,Exactive Orbitrap,Exactive slot #1,1.1-135901/1.1.6.1360,"FTMS {1,3} - p ESI Full ms [55.00-280.00];;;FTMS {1,4} - p ESI Full ms [270.00-1200.00];;;FTMS {1,1} + p ESI Full ms [55.00-280.00];;;FTMS {1,2} + p ESI Full ms [270.00-1200.00]",200214-DHG-plasma_and_serum_injections
21,Unknown,plasma_15.mzML,22,C:\Xcalibur\Data\200214-DHG-plasma_and_serum_injections,FIE-4pn280,NA,A:5,20,NA,0,0,0,1,NA,plasma_15,1,1,plasma,22,22,14/02/2020 17:31:00,Thermo Exactive Orbitrap,Exactive Orbitrap,Exactive slot #1,1.1-135901/1.1.6.1360,"FTMS {1,3} - p ESI Full ms [55.00-280.00];;;FTMS {1,4} - p ESI Full ms [270.00-1200.00];;;FTMS {1,1} + p ESI Full ms [55.00-280.00];;;FTMS {1,2} + p ESI Full ms [270.00-1200.00]",200214-DHG-plasma_and_serum_injections
22,Unknown,plasma_16.mzML,23,C:\Xcalibur\Data\200214-DHG-plasma_and_serum_injections,FIE-4pn280,NA,A:5,20,NA,0,0,0,1,NA,plasma_16,1,1,plasma,23,23,14/02/2020 17:35:12,Thermo Exactive Orbitrap,Exactive Orbitrap,Exactive slot #1,1.1-135901/1.1.6.1360,"FTMS {1,3} - p ESI Full ms [55.00-280.00];;;FTMS {1,4} - p ESI Full ms [270.00-1200.00];;;FTMS {1,1} + p ESI Full ms [55.00-280.00];;;FTMS {1,2} + p ESI Full ms [270.00-1200.00]",200214-DHG-plasma_and_serum_injections
23,Unknown,plasma_17.mzML,24,C:\Xcalibur\Data\200214-DHG-plasma_and_serum_injections,FIE-4pn280,NA,A:5,20,NA,0,0,0,1,NA,plasma_17,1,1,plasma,24,24,14/02/2020 17:39:28,Thermo Exactive Orbitrap,Exactive Orbitrap,Exactive slot #1,1.1-135901/1.1.6.1360,"FTMS {1,3} - p ESI Full ms [55.00-280.00];;;FTMS {1,4} - p ESI Full ms [270.00-1200.00];;;FTMS {1,1} + p ESI Full ms [55.00-280.00];;;FTMS {1,2} + p ESI Full ms [270.00-1200.00]",200214-DHG-plasma_and_serum_injections
24,Unknown,plasma_18.mzML,25,C:\Xcalibur\Data\200214-DHG-plasma_and_serum_injections,FIE-4pn280,NA,A:5,20,NA,0,0,0,1,NA,plasma_18,1,1,plasma,25,25,14/02/2020 17:44:00,Thermo Exactive Orbitrap,Exactive Orbitrap,Exactive slot #1,1.1-135901/1.1.6.1360,"FTMS {1,3} - p ESI Full ms [55.00-280.00];;;FTMS {1,4} - p ESI Full ms [270.00-1200.00];;;FTMS {1,1} + p ESI Full ms [55.00-280.00];;;FTMS {1,2} + p ESI Full ms [270.00-1200.00]",200214-DHG-plasma_and_serum_injections
25,Unknown,plasma_19.mzML,26,C:\Xcalibur\Data\200214-DHG-plasma_and_serum_injections,FIE-4pn280,NA,A:6,20,NA,0,0,0,1,NA,plasma_19,1,1,plasma,26,26,14/02/2020 17:48:14,Thermo Exactive Orbitrap,Exactive Orbitrap,Exactive slot #1,1.1-135901/1.1.6.1360,"FTMS {1,3} - p ESI Full ms [55.00-280.00];;;FTMS {1,4} - p ESI Full ms [270.00-1200.00];;;FTMS {1,1} + p ESI Full ms [55.00-280.00];;;FTMS {1,2} + p ESI Full ms [270.00-1200.00]",200214-DHG-plasma_and_serum_injections
